Username,Review,Stars
Helmy Hadi Hidayat,Tempat kuliah ilmu ekonomi.,4
Sapto Hartono,Tempatnya bersih dan nyaman,5
Mohammad Fauzan,kampus swasta termurah dan terbaik,5
Wahyu Dwi Pambudi,Kampus tengah kota nyaman,4
DAWAI LENTERA,universitas mantap gan,5
Oky Wulandari,Kampus tengah kota,4
Ahmad Rofiq,Bagus Nyaman,5
Indra Jaya,Asik,5
Squizy Noone,Mantap,5
Nio Gadis,Dekat dengan pusat kota,4
amalia nuraeni,Nayla,1
Rantie Liung,Oke,4
Ricky Kristiatno,Good banget,5
Rochmat Ibnu Achmadi,Universitas di pusat kota,5
Budhi Santoso,Good...bagus,4
fauzan trader,kampus kesayanagan,5
Ce eN,Recomended campus,5
abdullah tholut,Istimewaa,5
Hendrik HK,Saya lulusan dari sini,5
Salam Nur,Strategis,5
Pak Dhe Djanto,Universitas untuk umum,4
jeffriko danoes,Mantap 👍 …,5
heri suparji,Bagus,5
Yulius Bagus Caesar,No review text,5
ALORA SELF STUDIO,Sangat menyukainya,5
Gojek Semarang Driver,Banyak yang aman dan nyaman,5
Melissa Vania Adelina (Meme),Pak Jati besttttt 👍👍👍 …,5
Zainal Makruf,Menyesap,3
Devent Offianda,Jajan bon bon,5
Catur Sugiarto,No review text,5
Nisa,Anda memiliki Alumni 🥰🙌🏻 …,5
Dwi M,tanda,5
Khairul Hbi2,Tempat yang bagus..,5
Djagoan Internet,bukan universitas terbaik,2
Irvan Aji Bagus Wijayanto,mengerikan,5
si Kukuh,👍👍 …,5
Restu Lucky,Tempat yang bagus,5
Ilham Nazilla,Almamaterku :),5
Purusotam Kumar,India,1
om kabul,kampus legenda,5
HENGKYJANU VANDRY,Universitas wirausaha,5
Leon L,universitas perbankan,5
Syahrul Budiman,No review text,4
Inka Nuromavita,No review text,5
Edo Wahyu,No review text,5
Mdita23 Bunga,No review text,5
G & G Paradize,No review text,5
Galih Arkananta,No review text,5
Dance Yumai,No review text,5
Weka Akmal,No review text,4
